iter	MAE
0	2844632.005
1	2727827.929
2	2621891.646
3	2520369.319
4	2435275.116
5	2352975.399
6	2288419.318
7	2231892.795
8	2179729.925
9	2139500.272
10	2105245.925
11	2073178.048
12	2039468.388
13	2013969.038
14	1987689.207
15	1961458.923
16	1944061.203
17	1927734.064
18	1906144.535
19	1884444.157
20	1867277.779
21	1855318.955
22	1833740.655
23	1823856.85
24	1810895.546
25	1796862.257
26	1790051.702
27	1778292.102
28	1766144.663
29	1759451.946
30	1753288.356
31	1746823.494
32	1741609.263
33	1738633.826
34	1732328.867
35	1726198.188
36	1715474.466
37	1708406.11
38	1700514.464
39	1696806.436
40	1688645.058
41	1685898.121
42	1683843.052
43	1679752.408
44	1676432.641
45	1674040.89
46	1672684.251
47	1669069.83
48	1666083.511
49	1663609.229
50	1657831.731
51	1654371.213
52	1652216.591
53	1648546.307
54	1644829.457
55	1635811.119
56	1634059.393
57	1633085.459
58	1628229.164
59	1626869.994
60	1623420.012
61	1621431.952
62	1617293.259
63	1614290.285
64	1612829.482
65	1612128.012
66	1610869.243
67	1605747.652
68	1603741.385
69	1602219.573
70	1600794.283
71	1598693.98
72	1594823.93
73	1593035.094
74	1591398.37
75	1590673.327
76	1588713.433
77	1586285.77
78	1585170.626
79	1583168.689
80	1582190.254
81	1581536.21
82	1580604.293
83	1579269.372
84	1575820.728
85	1573503.515
86	1572695.815
87	1571507.314
88	1569305.042
89	1568368.307
90	1565862.022
91	1564553.057
92	1563634.591
93	1562811.549
94	1561827.471
95	1558750.859
96	1555709.044
97	1554119.719
98	1550291.044
99	1549208.159
100	1548274.29
101	1546741.446
102	1543087.597
103	1542251.01
104	1540331.599
105	1539230.849
106	1538292.383
107	1536989.634
108	1536168.951
109	1535694.474
110	1534246.047
111	1533567.937
112	1532303.9
113	1531024.046
114	1530297.723
115	1529226.91
116	1528286.201
117	1527105.789
118	1524384.613
119	1522538.854
120	1521549.937
121	1520734.305
122	1518496.194
123	1516487.117
124	1515146.021
125	1514280.435
126	1512436.299
127	1511147.085
128	1510016.071
129	1509211.976
130	1508610.562
131	1507110.493
132	1506156.921
133	1503772.565
134	1503123.837
135	1501436.763
136	1499705.464
137	1499420.889
138	1497675.522
139	1495827.559
140	1495091.368
141	1493730.339
142	1492440.856
143	1491625.839
144	1490588.287
145	1490001.985
146	1489721.055
147	1489085.806
148	1488227.675
149	1486941.367
150	1486504.306
151	1486036.901
152	1485416.053
153	1483500.436
154	1482406.487
155	1481450.344
156	1480291.026
157	1478437.648
158	1475279.469
159	1473895.637
160	1472868.487
161	1471425.73
162	1471089.037
163	1470309.716
164	1469193.737
165	1469062.071
166	1468267.864
167	1467822.383
168	1466395.677
169	1464579.694
170	1463568.246
171	1462863.051
172	1461381.728
173	1459701.726
174	1458326.883
175	1457740.879
176	1456595.912
177	1455708.992
178	1455120.704
179	1454279.001
180	1453963.334
181	1453257.077
182	1452377.561
183	1451353.53
184	1449428.684
185	1448950.419
186	1446747.775
187	1445570.029
188	1445131.208
189	1444746.341
190	1443550.738
191	1442865.741
192	1442487.307
193	1441642.08
194	1440649.19
195	1440357.226
196	1439784.361
197	1439020.974
198	1438407.138
199	1437559.719
200	1435669.566
201	1435297.411
202	1434950.667
203	1433489.641
204	1432141.602
205	1431803.455
206	1431208.511
207	1430643.772
208	1429900.078
209	1429548.087
210	1429086.065
211	1427925.484
212	1427321.387
213	1426962.588
214	1426285.117
215	1425632.963
216	1425062.271
217	1424608.344
218	1423208.968
219	1422825.122
220	1422224.768
221	1421090.273
222	1419824.568
223	1418688.806
224	1418290.91
225	1417752.214
226	1417145.578
227	1415761.382
228	1415519.542
229	1414165.735
230	1413078.262
231	1412442.981
232	1411657.562
233	1411135.199
234	1409951.24
235	1409253.136
236	1408688.935
237	1407414.504
238	1406858.543
239	1406591.611
240	1406292.493
241	1405736.009
242	1405039.284
243	1404584.675
244	1403410.749
245	1403017.945
246	1402270.386
247	1401566.069
248	1401194.26
249	1400938.473
250	1400388.495
251	1400076.373
252	1399458.49
253	1398077.401
254	1397071.439
255	1396553.22
256	1395905.454
257	1395413.313
258	1395251.721
259	1394378.804
260	1393617.081
261	1392965.078
262	1391595.759
263	1391254.516
264	1390743.992
265	1389226.248
266	1388007.474
267	1387562.603
268	1387090.11
269	1386632.25
270	1386268.91
271	1385971.892
272	1384829.24
273	1384234.683
274	1383390.575
275	1382991.205
276	1382643.307
277	1382390.708
278	1381644.997
279	1380795.09
280	1379706.207
281	1379255.612
282	1378986.996
283	1378388.91
284	1377897.875
285	1377494.787
286	1376940.367
287	1376623.865
288	1375484.628
289	1374696.869
290	1374278.221
291	1373758.021
292	1373563.321
293	1373328.984
294	1372311.223
295	1371881.567
296	1371239.198
297	1370852.882
298	1370461.963
299	1370242.739
300	1370038.202
301	1368924.508
302	1368658.969
303	1368141.552
304	1367645.842
305	1367313.556
306	1367005.86
307	1366786.649
308	1365685.593
309	1365272.422
310	1364563.251
311	1363962.25
312	1363462.407
313	1363175.489
314	1362268.723
315	1361763.824
316	1361436.442
317	1360868.301
318	1360293.154
319	1359630.131
320	1359230.485
321	1358906.74
322	1358237.291
323	1357805.461
324	1357219.822
325	1356657.889
326	1355611.209
327	1354941.088
328	1354029.359
329	1353863.279
330	1353560.633
331	1353151.857
332	1352165.495
333	1351687.309
334	1351496.389
335	1350996.123
336	1350855.452
337	1350671.765
338	1350515.291
339	1350250.511
340	1349899.414
341	1349463
342	1348938.661
343	1348446.831
344	1348136.015
345	1347900.911
346	1347729.386
347	1347202.233
348	1346931.411
349	1346531.417
350	1346411.273
351	1346060.99
352	1345728.353
353	1345266.441
354	1344982.596
355	1343895.645
356	1342760.901
357	1342410.391
358	1342133.354
359	1341971.284
360	1341130.902
361	1340980.306
362	1340603.728
363	1339953.42
364	1339574.935
365	1339056.024
366	1338845.973
367	1338238.117
368	1337720.481
369	1337219.994
370	1336918.884
371	1336650.491
372	1335855.814
373	1335294.049
374	1335205.68
375	1334851.99
376	1334267.029
377	1333715.782
378	1333340.796
379	1333045.228
380	1332761.458
381	1332344.876
382	1331912.244
383	1331775.467
384	1331590.604
385	1331061.904
386	1330741.951
387	1330570.671
388	1330357.471
389	1330182.526
390	1329674.518
391	1329372.473
392	1329162.278
393	1329034.434
394	1328645.982
395	1328366.982
396	1327995.034
397	1327210.484
398	1326510.561
399	1326432.911
400	1325819.677
401	1325331.402
402	1325084.898
403	1324653.451
404	1324279.536
405	1323979.677
406	1323639.613
407	1322410.396
408	1321636.869
409	1321497.039
410	1320522.171
411	1320429.615
412	1320192.254
413	1319769.524
414	1319697.202
415	1319498.315
416	1319255.748
417	1319032.642
418	1318268.017
419	1318161.966
420	1317576.152
421	1317327.305
422	1317150.682
423	1317021.782
424	1316678.277
425	1316404.692
426	1315869.302
427	1315798.323
428	1315422.198
429	1315212.437
430	1314966.822
431	1314829.351
432	1314247.199
433	1314028.298
434	1313662.708
435	1313530.706
436	1313207.542
437	1312637.899
438	1312406.594
439	1311815.41
440	1311269.362
441	1311187.875
442	1311051.837
443	1310787.394
444	1310042.482
445	1309813.594
446	1309685.064
447	1309427.614
448	1308993.266
449	1308546.945
450	1308334.26
451	1307759.351
452	1307308.728
453	1307001.431
454	1306850.398
455	1306518.099
456	1306100.222
457	1305882.444
458	1305710.385
459	1304975.318
460	1304767.672
461	1304658.313
462	1304216.175
463	1303935.554
464	1303722.837
465	1303493.556
466	1303093.722
467	1302641.822
468	1302175.09
469	1301335.439
470	1301067.177
471	1300772.708
472	1300313.174
473	1300142.053
474	1299794.395
475	1298888.615
476	1298551.265
477	1298291.803
478	1298195.125
479	1297304.876
480	1296933.418
481	1296691.862
482	1296362.041
483	1295889.996
484	1295848.747
485	1295628.562
486	1295433.849
487	1295275.24
488	1294875.738
489	1294517.771
490	1294356.694
491	1293909.956
492	1293766.684
493	1293433.847
494	1293222.223
495	1292838.652
496	1292793.241
497	1292743.799
498	1292461.229
499	1292164.469
500	1292076.097
501	1291900.11
502	1291684.005
503	1291373.362
504	1291300.216
505	1290988.261
506	1290913.95
507	1290893.673
508	1290637.19
509	1290515.67
510	1290021.242
511	1288820.96
512	1288416.539
513	1288240.742
514	1288042.332
515	1287504.164
516	1287413.958
517	1286984.271
518	1286307.945
519	1286076.634
520	1285271.869
521	1284975.31
522	1284821.411
523	1284373.3
524	1283910.7
525	1283755.301
526	1283607.005
527	1283249.73
528	1283148.7
529	1282818.441
530	1282728.471
531	1282407.601
532	1282345.555
533	1282097.784
534	1281853.162
535	1281703.317
536	1281553.174
537	1281415.757
538	1281196.039
539	1280796.179
540	1280628.352
541	1280473.85
542	1280247.999
543	1280031.738
544	1279936.416
545	1279783.544
546	1279590.96
547	1279294.106
548	1278463.027
549	1278187.289
550	1277566.968
551	1276026.612
552	1275630.031
553	1275590.646
554	1275429.541
555	1275355.41
556	1275283.614
557	1275155.594
558	1274957.293
559	1274704.154
560	1273886.473
561	1273556.396
562	1272288.778
563	1272090.564
564	1271681.51
565	1271643.451
566	1271435.053
567	1271203.982
568	1271042.976
569	1270396.021
570	1270352.131
571	1269770.026
572	1269321.009
573	1269151.477
574	1268638.867
575	1268271.938
576	1267743.039
577	1267500.1
578	1267339.266
579	1267161.922
580	1267008.845
581	1266821.396
582	1266494.113
583	1266341.991
584	1266043.577
585	1265801.672
586	1265651.17
587	1265579.062
588	1265412.739
589	1265286.796
590	1264854.215
591	1264468.524
592	1264268.474
593	1264212.876
594	1264070.68
595	1263904.273
596	1263570.226
597	1263478.169
598	1263356.235
599	1262928.458
600	1262635.276
601	1262333.747
602	1262165.938
603	1261814.282
604	1261304.729
605	1261167.131
606	1261034.003
607	1260797.056
608	1260356.894
609	1260113.549
610	1259907.977
611	1259730.761
612	1259552.207
613	1259324.064
614	1259151.95
615	1258808.915
616	1258488.363
617	1258401.065
618	1258300.7
619	1257847.221
620	1257505.465
621	1257167.835
622	1256877.174
623	1256649.284
624	1256563.851
625	1256428.366
626	1256278.649
627	1256214.588
628	1256052.849
629	1255694.298
630	1254594.604
631	1253901.673
632	1253844.154
633	1253803.64
634	1253454.891
635	1253198.764
636	1253092.408
637	1252712.363
638	1252664.475
639	1252535.754
640	1252412.76
641	1252192.196
642	1252092.872
643	1251938.507
644	1251680.39
645	1251459.638
646	1251389.434
647	1251079.279
648	1250356.145
649	1250149.708
650	1249918.439
651	1249715.225
652	1249542.285
653	1249272.381
654	1249166.295
655	1249154.379
656	1248709.055
657	1248509.427
658	1248233.891
659	1248060.391
660	1247951.564
661	1247717.92
662	1247427.307
663	1247412.412
664	1247186.556
665	1247001.612
666	1246859.673
667	1246696.814
668	1246272.428
669	1246160.208
670	1245768.648
671	1245665.541
672	1245325.407
673	1245041.501
674	1244837.632
675	1244291.95
676	1244213.504
677	1244065.899
678	1243852.658
679	1243643.143
680	1243409.769
681	1242338.797
682	1242140.223
683	1242083.775
684	1241979.199
685	1241816.961
686	1241336.398
687	1241067.684
688	1240858.76
689	1240673.214
690	1240350.082
691	1240260.415
692	1240197.145
693	1239956.215
694	1239813.234
695	1239669.423
696	1239483.568
697	1239184.004
698	1239064.104
699	1238761.435
700	1238487.654
701	1238168.952
702	1238083.474
703	1237921.971
704	1237839.745
705	1237666.506
706	1237539.641
707	1237376.195
708	1237287.318
709	1237041.437
710	1236556.897
711	1236308.343
712	1236235.522
713	1236139.59
714	1235863.69
715	1235616.11
716	1235400.247
717	1235269.253
718	1234653.82
719	1234619.132
720	1234535.353
721	1234374.052
722	1234181.562
723	1234088.255
724	1234071.051
725	1233991.333
726	1233752.806
727	1233638.756
728	1233101.125
729	1232934.874
730	1232665.346
731	1232486.037
732	1232386.798
733	1232138.52
734	1231904.238
735	1231565.459
736	1231419.878
737	1230946.732
738	1230864.274
739	1230634.858
740	1230591.011
741	1230485.24
742	1230387.094
743	1230259.014
744	1229929.892
