iter	Passed	Remaining
0	84	126641
1	92	69347
2	97	48486
3	101	37927
4	106	31722
5	109	27377
6	115	24694
7	120	22391
8	122	20364
9	127	18940
10	132	17943
11	135	16792
12	145	16621
13	156	16578
14	160	15850
15	168	15608
16	172	15042
17	179	14813
18	182	14256
19	188	13960
20	192	13546
21	197	13297
22	200	12899
23	203	12531
24	207	12264
25	215	12199
26	218	11930
27	222	11697
28	229	11662
29	233	11426
30	236	11221
31	240	11020
32	247	11012
33	251	10829
34	254	10656
35	257	10472
36	264	10473
37	267	10308
38	271	10153
39	279	10207
40	283	10082
41	286	9953
42	289	9822
43	296	9798
44	299	9677
45	304	9625
46	310	9585
47	314	9501
48	316	9387
49	320	9287
50	328	9336
51	335	9342
52	339	9273
53	344	9211
54	347	9126
55	350	9029
56	353	8955
57	359	8934
58	362	8861
59	367	8811
60	371	8762
61	378	8779
62	382	8719
63	386	8666
64	393	8698
65	401	8728
66	405	8681
67	410	8643
68	414	8595
69	417	8534
70	425	8558
71	428	8491
72	431	8432
73	434	8373
74	439	8354
75	444	8320
76	450	8318
77	457	8343
78	462	8325
79	466	8275
80	468	8214
81	476	8246
82	480	8199
83	483	8143
84	488	8130
85	491	8087
86	495	8047
87	501	8046
88	505	8019
89	509	7986
90	513	7945
91	516	7897
92	522	7901
93	525	7864
94	530	7839
95	533	7797
96	539	7802
97	545	7806
98	548	7762
99	553	7750
100	557	7720
101	562	7707
102	567	7699
103	571	7672
104	575	7647
105	579	7617
106	585	7619
107	588	7583
108	591	7553
109	596	7537
110	602	7535
111	608	7543
112	611	7506
113	622	7565
114	629	7585
115	637	7601
116	641	7587
117	645	7561
118	650	7547
119	655	7537
120	658	7507
121	661	7475
122	668	7481
123	671	7453
124	675	7428
125	678	7402
126	685	7415
127	692	7423
128	702	7461
129	710	7488
130	719	7520
131	723	7496
132	733	7542
133	737	7520
134	743	7520
135	748	7507
136	752	7483
137	758	7482
138	761	7451
139	766	7446
140	769	7419
141	772	7390
142	776	7367
143	784	7383
144	787	7357
145	791	7343
146	796	7334
147	801	7317
148	803	7289
149	806	7260
150	814	7277
151	817	7252
152	823	7250
153	829	7253
154	833	7233
155	837	7212
156	840	7191
157	846	7187
158	850	7171
159	853	7149
160	856	7125
161	865	7150
162	869	7135
163	873	7115
164	881	7134
