timestamp,salary,fixed_basket,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco,average_life_exp
2011-09-10,44898.7,12856.97,44.25,37.73,30.63,75.79
2011-09-19,44898.7,12856.97,44.25,37.73,30.63,75.79
2011-09-20,44898.7,12856.97,44.25,37.73,30.63,75.79
2011-09-22,44898.7,12856.97,44.25,37.73,30.63,75.79
2011-09-27,44898.7,12856.97,44.25,37.73,30.63,75.79
2011-09-28,44898.7,12856.97,44.25,37.73,30.63,75.79
2011-09-30,44898.7,12856.97,44.25,37.73,30.63,75.79
2011-10-03,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-04,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-05,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-07,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-11,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-12,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-13,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-14,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-17,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-18,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-19,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-20,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-21,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-22,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-24,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-25,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-26,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-27,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-28,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-29,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-10-31,44898.7,12922.97,43.46,38.1,31.11,75.79
2011-11-01,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-03,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-05,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-07,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-09,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-10,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-14,44898.7,12959.49,46.5,38.62,31.53,75.79
2011-11-16,44898.7,12959.49,46.5,38.62,31.53,75.79
