id,timestamp,full_sq,life_sq,kitch_sq,num_room,floor,max_floor,state,material,build_year,full_all,sub_area,salary,fixed_basket,rent_price_1room_eco,rent_price_2room_eco,rent_price_3room_eco,average_life_exp,price_doc
13324,2013-12-23,42.0,28.0,6.0,2.0,8.0,9.0,2.0,1.0,1969.0,43795,Pechatniki,55485.2,15417.34,33.97,42.0,48.5,76.37,7100000
13333,2013-12-23,83.0,83.0,10.0,2.0,4.0,6.0,1.0,1.0,2014.0,143661,Troickij okrug,55485.2,15417.34,33.97,42.0,48.5,76.37,7733836
13327,2013-12-23,79.0,45.0,9.0,3.0,11.0,22.0,,1.0,1988.0,130229,Moskvorech'e-Saburovo,55485.2,15417.34,33.97,42.0,48.5,76.37,10300000
13334,2013-12-23,105.0,66.0,16.0,3.0,13.0,17.0,1.0,4.0,2012.0,13890,Poselenie Sosenskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,6755868
13321,2013-12-23,38.0,23.0,7.0,2.0,9.0,9.0,3.0,1.0,1963.0,102590,Danilovskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,1000000
13348,2013-12-23,56.0,50.0,6.0,2.0,3.0,12.0,1.0,6.0,2013.0,39873,Poselenie Shherbinka,55485.2,15417.34,33.97,42.0,48.5,76.37,5194980
13325,2013-12-23,73.0,44.0,10.0,3.0,2.0,2.0,3.0,1.0,1988.0,130229,Moskvorech'e-Saburovo,55485.2,15417.34,33.97,42.0,48.5,76.37,11000000
13357,2013-12-23,76.0,40.0,10.0,3.0,2.0,12.0,3.0,1.0,2001.0,78616,Severnoe Butovo,55485.2,15417.34,33.97,42.0,48.5,76.37,12000000
13351,2013-12-23,41.0,19.0,13.0,1.0,3.0,5.0,3.0,2.0,1962.0,155427,Horoshevo-Mnevniki,55485.2,15417.34,33.97,42.0,48.5,76.37,6300000
13329,2013-12-23,44.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,2014.0,221709,Krjukovo,55485.2,15417.34,33.97,42.0,48.5,76.37,4664000
13335,2013-12-23,63.0,39.0,7.0,3.0,8.0,9.0,,1.0,1973.0,90114,Teplyj Stan,55485.2,15417.34,33.97,42.0,48.5,76.37,8500000
13343,2013-12-23,47.0,30.0,7.0,2.0,7.0,12.0,2.0,1.0,1973.0,125354,Chertanovo Severnoe,55485.2,15417.34,33.97,42.0,48.5,76.37,7800000
13330,2013-12-23,37.0,19.0,8.0,1.0,16.0,17.0,2.0,1.0,1991.0,21155,Mitino,55485.2,15417.34,33.97,42.0,48.5,76.37,6900000
13340,2013-12-23,38.0,20.0,10.0,1.0,15.0,22.0,3.0,1.0,1996.0,165727,Mar'ino,55485.2,15417.34,33.97,42.0,48.5,76.37,6575000
13326,2013-12-23,37.0,22.0,7.0,2.0,2.0,9.0,2.0,1.0,1966.0,118945,Vostochnoe Izmajlovo,55485.2,15417.34,33.97,42.0,48.5,76.37,4900000
13339,2013-12-23,50.0,50.0,1.0,2.0,8.0,14.0,1.0,1.0,2014.0,2942,Poselenie Filimonkovskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,3272351
13336,2013-12-23,79.0,44.0,10.0,3.0,13.0,22.0,3.0,1.0,2002.0,81887,Hovrino,55485.2,15417.34,33.97,42.0,48.5,76.37,12700000
13322,2013-12-23,56.0,29.0,8.0,2.0,10.0,16.0,2.0,1.0,2002.0,102828,Kosino-Uhtomskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,6800000
13344,2013-12-23,51.0,30.0,8.0,2.0,10.0,17.0,3.0,1.0,1985.0,67710,Krylatskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,11200000
13318,2013-12-23,51.0,33.0,6.0,3.0,4.0,5.0,3.0,2.0,1960.0,1362363,Akademicheskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,9600000
13350,2013-12-23,66.0,43.0,10.0,3.0,3.0,12.0,3.0,5.0,1979.0,27992,Juzhnoe Medvedkovo,55485.2,15417.34,33.97,42.0,48.5,76.37,9900000
