id,full_sq,life_sq,kitch_sq,num_room,floor,max_floor,state,material,build_year,full_all,sub_area,salary,fixed_basket,rent_price_1room_eco,rent_price_2room_eco,rent_price_3room_eco,average_life_exp,price_doc
13324,42.0,28.0,6.0,2.0,8.0,9.0,2.0,1.0,1969.0,43795,Pechatniki,55485.2,15417.34,33.97,42.0,48.5,76.37,7100000
13333,83.0,83.0,10.0,2.0,4.0,6.0,1.0,1.0,2014.0,143661,Troickij okrug,55485.2,15417.34,33.97,42.0,48.5,76.37,7733836
13327,79.0,45.0,9.0,3.0,11.0,22.0,3.0,1.0,1988.0,130229,Moskvorech'e-Saburovo,55485.2,15417.34,33.97,42.0,48.5,76.37,10300000
13334,105.0,66.0,16.0,3.0,13.0,17.0,1.0,4.0,2012.0,13890,Poselenie Sosenskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,6755868
13321,38.0,23.0,7.0,2.0,9.0,9.0,3.0,1.0,1963.0,102590,Danilovskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,1000000
13348,56.0,50.0,6.0,2.0,3.0,12.0,1.0,6.0,2013.0,39873,Poselenie Shherbinka,55485.2,15417.34,33.97,42.0,48.5,76.37,5194980
13325,73.0,44.0,10.0,3.0,2.0,2.0,3.0,1.0,1988.0,130229,Moskvorech'e-Saburovo,55485.2,15417.34,33.97,42.0,48.5,76.37,11000000
13357,76.0,40.0,10.0,3.0,2.0,12.0,3.0,1.0,2001.0,78616,Severnoe Butovo,55485.2,15417.34,33.97,42.0,48.5,76.37,12000000
13351,41.0,19.0,13.0,1.0,3.0,5.0,3.0,2.0,1962.0,155427,Horoshevo-Mnevniki,55485.2,15417.34,33.97,42.0,48.5,76.37,6300000
13329,44.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,2014.0,221709,Krjukovo,55485.2,15417.34,33.97,42.0,48.5,76.37,4664000
13335,63.0,39.0,7.0,3.0,8.0,9.0,2.0,1.0,1973.0,90114,Teplyj Stan,55485.2,15417.34,33.97,42.0,48.5,76.37,8500000
13343,47.0,30.0,7.0,2.0,7.0,12.0,2.0,1.0,1973.0,125354,Chertanovo Severnoe,55485.2,15417.34,33.97,42.0,48.5,76.37,7800000
13330,37.0,19.0,8.0,1.0,16.0,17.0,2.0,1.0,1991.0,21155,Mitino,55485.2,15417.34,33.97,42.0,48.5,76.37,6900000
13340,38.0,20.0,10.0,1.0,15.0,22.0,3.0,1.0,1996.0,165727,Mar'ino,55485.2,15417.34,33.97,42.0,48.5,76.37,6575000
13326,37.0,22.0,7.0,2.0,2.0,9.0,2.0,1.0,1966.0,118945,Vostochnoe Izmajlovo,55485.2,15417.34,33.97,42.0,48.5,76.37,4900000
13339,50.0,50.0,1.0,2.0,8.0,14.0,1.0,1.0,2014.0,2942,Poselenie Filimonkovskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,3272351
13336,79.0,44.0,10.0,3.0,13.0,22.0,3.0,1.0,2002.0,81887,Hovrino,55485.2,15417.34,33.97,42.0,48.5,76.37,12700000
13322,56.0,29.0,8.0,2.0,10.0,16.0,2.0,1.0,2002.0,102828,Kosino-Uhtomskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,6800000
13344,51.0,30.0,8.0,2.0,10.0,17.0,3.0,1.0,1985.0,67710,Krylatskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,11200000
13318,51.0,33.0,6.0,3.0,4.0,5.0,3.0,2.0,1960.0,1362363,Akademicheskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,9600000
13350,66.0,43.0,10.0,3.0,3.0,12.0,3.0,5.0,1979.0,27992,Juzhnoe Medvedkovo,55485.2,15417.34,33.97,42.0,48.5,76.37,9900000
13352,31.0,20.0,5.0,1.0,5.0,5.0,2.0,1.0,1963.0,36154,Perovo,55485.2,15417.34,33.97,42.0,48.5,76.37,4800000
13338,41.0,40.0,1.0,1.0,14.0,25.0,1.0,4.0,2012.0,7341,Poselenie Moskovskij,55485.2,15417.34,33.97,42.0,48.5,76.37,3921239
13347,51.0,50.0,1.0,2.0,5.0,5.0,2.0,1.0,1975.0,39873,Poselenie Shherbinka,55485.2,15417.34,33.97,42.0,48.5,76.37,4445576
13345,80.0,80.0,1.0,2.0,1.0,1.0,1.0,1.0,2013.0,156377,Strogino,55485.2,15417.34,33.97,42.0,48.5,76.37,13152320
13346,34.0,19.0,9.0,1.0,6.0,8.0,2.0,5.0,1979.0,48439,Zjablikovo,55485.2,15417.34,33.97,42.0,48.5,76.37,2000000
13319,48.0,31.0,7.0,2.0,5.0,8.0,3.0,2.0,1960.0,75377,Hamovniki,55485.2,15417.34,33.97,42.0,48.5,76.37,13700000
13328,66.0,44.0,9.0,3.0,7.0,12.0,2.0,5.0,1967.0,118945,Vostochnoe Izmajlovo,55485.2,15417.34,33.97,42.0,48.5,76.37,10800000
13332,79.0,78.0,1.0,3.0,7.0,17.0,1.0,1.0,2015.0,17790,Poselenie Vnukovskoe,55485.2,15417.34,33.97,42.0,48.5,76.37,7644305
10064,55.0,41.0,5.0,3.0,4.0,5.0,3.0,2.0,1960.0,21040,Dorogomilovo,55485.2,15241.93,33.15,42.33,48.22,76.37,11500000
10073,42.0,18.0,10.0,1.0,19.0,23.0,2.0,1.0,2006.0,83369,Rjazanskij,55485.2,15241.93,33.15,42.33,48.22,76.37,2000000
10079,106.0,106.0,0.0,6.0,2.0,2.0,1.0,1.0,2014.0,5740,Poselenie Pervomajskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,4980000
10069,50.0,23.0,11.0,1.0,8.0,14.0,2.0,1.0,2006.0,102828,Kosino-Uhtomskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,6500000
10062,40.0,30.0,10.0,1.0,10.0,12.0,1.0,1.0,2014.0,21819,Poselenie Desjonovskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,3401974
10077,67.0,32.0,12.0,2.0,1.0,16.0,1.0,4.0,2014.0,9553,Poselenie Voskresenskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,6130500
10059,54.0,30.0,8.0,2.0,9.0,16.0,3.0,1.0,2002.0,102618,Juzhnoe Butovo,55485.2,15241.93,33.15,42.33,48.22,76.37,6600000
10075,45.0,28.0,5.0,2.0,9.0,12.0,3.0,5.0,1973.0,3521,Savelovskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,7400000
10076,63.0,58.0,12.0,2.0,7.0,17.0,1.0,6.0,2014.0,9553,Poselenie Voskresenskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,5995440
10060,31.0,21.0,5.0,1.0,3.0,9.0,3.0,1.0,1964.0,1359171,Alekseevskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,2000000
10061,54.0,38.0,5.0,3.0,2.0,9.0,3.0,2.0,1965.0,57999,Presnenskoe,55485.2,15241.93,33.15,42.33,48.22,76.37,12000000
12022,43.0,29.0,5.0,2.0,4.0,5.0,2.0,2.0,1960.0,157010,Ivanovskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,5800000
11986,76.0,45.0,10.0,3.0,10.0,16.0,2.0,1.0,1981.0,165727,Mar'ino,55485.2,15367.58,34.55,42.02,49.29,76.37,10000000
11989,51.0,30.0,8.0,2.0,11.0,17.0,3.0,1.0,1987.0,94561,Novokosino,55485.2,15367.58,34.55,42.02,49.29,76.37,7800000
12004,62.0,62.0,0.0,2.0,5.0,17.0,1.0,1.0,2015.0,21819,Poselenie Desjonovskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,5056214
12013,32.0,14.0,9.0,1.0,11.0,12.0,2.0,5.0,1967.0,103746,Metrogorodok,55485.2,15367.58,34.55,42.02,49.29,76.37,5390000
12012,36.0,22.0,7.0,2.0,7.0,9.0,3.0,1.0,1963.0,106445,Gagarinskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,7600000
12000,60.0,43.0,6.0,3.0,8.0,9.0,2.0,1.0,1975.0,61396,Otradnoe,55485.2,15367.58,34.55,42.02,49.29,76.37,3000000
11997,32.0,19.0,5.0,1.0,8.0,9.0,2.0,2.0,1965.0,47245,Meshhanskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,1000000
12003,48.0,31.0,8.0,2.0,5.0,12.0,2.0,1.0,1970.0,94564,Golovinskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,7480000
11995,36.0,18.0,8.0,1.0,14.0,14.0,2.0,2.0,1969.0,37807,Savelki,55485.2,15367.58,34.55,42.02,49.29,76.37,2000000
12006,53.0,30.0,8.0,2.0,4.0,4.0,1.0,1.0,2014.0,2942,Poselenie Filimonkovskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,3242837
12014,82.0,37.0,11.0,2.0,11.0,20.0,1.0,6.0,2014.0,17790,Poselenie Vnukovskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,8917028
11992,80.0,80.0,0.0,3.0,3.0,3.0,1.0,1.0,2013.0,53786,Severnoe Tushino,55485.2,15367.58,34.55,42.02,49.29,76.37,14426880
11988,38.0,20.0,8.0,1.0,2.0,14.0,3.0,1.0,1985.0,85721,Brateevo,55485.2,15367.58,34.55,42.02,49.29,76.37,5400000
12024,39.0,20.0,10.0,1.0,17.0,22.0,3.0,1.0,2001.0,94564,Golovinskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,6380000
12008,32.0,20.0,5.0,1.0,4.0,5.0,2.0,1.0,1964.0,31167,Kuz'minki,55485.2,15367.58,34.55,42.02,49.29,76.37,5100000
11991,36.0,20.0,9.0,1.0,8.0,12.0,3.0,1.0,1965.0,26943,Mar'ina Roshha,55485.2,15367.58,34.55,42.02,49.29,76.37,7850000
12027,81.0,43.0,10.0,3.0,13.0,17.0,2.0,1.0,2007.0,78507,Kuncevo,55485.2,15367.58,34.55,42.02,49.29,76.37,15850000
12015,44.0,30.0,5.0,2.0,4.0,5.0,3.0,5.0,1963.0,76670,Zjuzino,55485.2,15367.58,34.55,42.02,49.29,76.37,6450000
12021,37.0,18.0,9.0,1.0,7.0,16.0,2.0,5.0,1984.0,145088,Birjulevo Zapadnoe,55485.2,15367.58,34.55,42.02,49.29,76.37,4850000
11993,44.0,28.0,0.0,2.0,6.0,12.0,2.0,5.0,1967.0,76284,Nagatinskij Zaton,55485.2,15367.58,34.55,42.02,49.29,76.37,7800000
12001,41.0,41.0,10.0,2.0,7.0,12.0,1.0,4.0,2013.0,13890,Poselenie Sosenskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,4173067
11999,45.0,45.0,1.0,3.0,1.0,1.0,1.0,1.0,2013.0,13890,Poselenie Sosenskoe,55485.2,15367.58,34.55,42.02,49.29,76.37,5278356
